127.0.0.1 - - [06/Mar/2024:14:32:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:10 +0530] "GET /Quisine/ HTTP/1.1" 200 29297
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:10 +0530] "GET /Quisine/resources/css/Index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:10 +0530] "GET /Quisine/resources/assests/icons/LOGO.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:10 +0530] "GET /Quisine/resources/assests/icons/filter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:10 +0530] "GET /Quisine/resources/assests/icons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:10 +0530] "GET /Quisine/resources/assests/icons/checkout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:10 +0530] "GET /Quisine/resources/assests/food/poha.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/dhokla.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/dosa.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/dounts.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/burger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/sandwich.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/alopartha.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/thali.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/pannerkadai.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/icons/arrow-right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/hotels/restaurant-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/naan.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/hotels/restaurant-10.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/hotels/restaurant-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/icons/arrow_left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/gulabjamun.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/icecream.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/tandoorichicken.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/hotels/restaurant-7.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/biryani.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/subway.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/food/lacchaparatha.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/hotels/restaurant-9.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /Quisine/resources/assests/hotels/restaurant-8.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:36 +0530] "POST /Quisine/loginPageRequest HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:37 +0530] "GET /Quisine/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:32:37 +0530] "GET /Quisine/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:34:07 +0530] "POST /Quisine/loginPageRequest HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:34:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:34:16 +0530] "POST /Quisine/loginRequest HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:34:16 +0530] "GET /Quisine/resources/css/add-customer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:34:43 +0530] "GET /Quisine/logoutRequest HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:34:51 +0530] "GET /Quisine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:34:51 +0530] "GET /Quisine/ HTTP/1.1" 200 29297
0:0:0:0:0:0:0:1 - - [06/Mar/2024:14:36:02 +0530] "GET /Quisine/ HTTP/1.1" 200 29297
